Wshedarea,Annl Precip,Temprange,MAT,Runoff,NDVI,Slope,Elevation,pctForest,pctBog,pctLake,pctAg,NO3,DOC,Ndep,pctLake
14929479,1934.6,18.50666667,5.84,1975.69,140.1428571,16.86463963,317.8888889,0.371,0.022,0.125,0.054,275,1.1,1274.68,1.64
18231996,2100.095238,17.55238095,7.423809524,1644.06,136.25,3.870765057,55.59090909,0.58,0.017,0.181,0.024,160,2.9,688.04,3.14
86797194,1016.102273,24.74204545,-0.015909091,1292.71,115.9756098,15.12641129,1009.888889,0.188,0.05,0.046,0.01,4,1.3,232.1,3.24
28388362,553.1,36.79333333,-3.343333333,460.69,116.0625,1.942741615,477.7741935,0.171,0.185,0.088,0,,4.8,134.69,1.67
23040889,533.125,36.85416667,-3.391666667,465.86,115.6818182,3.318159213,498.5925926,0.288,0.073,0.116,0,,3.6,116.9,1.01
17209099,569.5,35.2,-4.245,960.44,108.2307692,5.211997708,709.6666667,0,0.017,0.073,0,,1.2,117.68,1.11
88734464,439.6222222,38.92111111,-3.03,333.98,118.7761194,1.535185762,310.2268041,0.712,0.076,0.171,0,,3.2,153.97,10.28
81728996,486.0365854,38.4902439,-3.425609756,428.95,115.974359,1.798658207,397.9111111,0.135,0.038,0.068,0,4,3.7,111.13,2.35
14427310,475.1764706,26.65882353,-0.547058824,738.36,116.6153846,3.732929459,265.5789474,0,0.006,0.22,0,10,0.97,195.3,2.51
17032986,598.1333333,35.72666667,-3.2,770.94,114.9166667,2.709820274,388.8421053,0,0.135,0.186,0,,2.4,176.9,2.84
38043669,975.1794872,21.3025641,0.864102564,2257.32,110.969697,14.80759701,445.1860465,0.149,0.011,0.089,0,,0.74,312.52,1.35
8691222,855.75,21.8875,1.8625,1111.2,127,4.368879036,200.6363636,0.627,0.057,0.272,0.007,12,1.2,245.32,2.3
87669067,778.0588235,22.68235294,1.564705882,1042.98,122.9710145,8.942889127,213.5208333,0.536,0.099,0.134,0.028,17,1.9,238.23,10.25
50554189,533.42,23.438,-0.216,830.06,111.8979592,3.944144637,322.2033898,0.005,0.036,0.057,0,3,0.93,204.5,2.28
128492905,483.620155,26.96511628,-0.448837209,379.82,115.7540984,2.6163136,285.9383562,0.313,0.059,0.076,0,5,2.4,191.79,1.57
7505003,465.25,26.975,0.25,233,119,1.346088413,139.25,0.284,0.071,0.225,0,4,2.1,230.13,1.88
56014412,472.0714286,26.34821429,0.425,315.38,118.326087,1.865971403,131.4242424,0.496,0.069,0.21,0,4,2.3,168.97,7.51
16724194,2091.6875,20.375,2.8125,2679.25,108.35,17.97793206,418.9444444,0.067,0,0.099,0,39,0.21,298.66,1.39
33681275,1733.90625,18.484375,5.765625,1631.09,141.8235294,5.081901101,260.2564103,0.149,0.031,0.077,0.086,720,3.3,1180.68,0.53
14043058,1027.285714,22.67142857,3.221428571,985.67,130.9333333,7.43715069,374.1111111,0.359,0.161,0.073,0,12,4.9,327.03,0.8
850255,814,28.8,4.7,612,140,1.562453389,205,0.838,0,0.129,0.003,21,5.9,704.51,0.1
21581651,816.5,28.50454545,4.677272727,576.92,140.1304348,1.788993841,219.6538462,0.817,0.021,0.07,0.057,17,6.9,704.51,0.53
5700166,801,28.275,4.225,498.5,143.75,1.479902096,288.25,0.725,0.136,0.027,0,46,14.4,678.43,0.09
460965,796,28.2,4.4,510,143,0.4600178,290,0.678,0.212,0.114,0,46,11.7,678.43,0.05
2000194,811,27.86666667,4.666666667,522,145,4.946386099,209,0.912,0.031,0.05,0,60,11.1,780.94,0.04
386692,830,27.4,4.4,555,145,5.694087029,264,0.763,0,0.246,0,29,5.1,754.28,0.07
4690382,817.3333333,26.6,5.333333333,437.86,145.25,1.015151346,207,0.867,0.063,0.068,0,76,8.7,750.03,0.2
1529708,789.5,26.5,5.75,388,148,1.515871108,161,0.941,0,0.052,0.005,86,14.5,836.33,0.07
,,,,,,,,,,,,4250,14,847.15,0.05
6088612,772.3333333,25.26666667,6.55,360.29,135,1.262705582,45.85714286,0.381,0.004,0.388,0.085,80,4.7,640.76,2.25
586526,800,26.4,5.6,396,148,0.466565043,146,0.891,0,0.128,0,56,10.6,823.98,0.07
599121,796,26.1,5.9,406,144,2.0828619,117,0.542,0,0.15,0.313,55,9.3,908.8,0.05
4342248,821,25.66,5.6,439.5,146.25,1.357118261,201.4,0.819,0.087,0.094,0,73,6.6,904.89,0.21
5646230,826.8333333,25.21666667,5.75,409.5,145.2,1.979910483,204.5,0.808,0.126,0.062,0.002,90,10,904.89,0.12
103220135,650.754902,30.25686275,2.691176471,445.13,139.1176471,4.322409209,397.9663866,0.854,0.102,0.013,0.027,18,6.4,575.61,1.17
